scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,seen_calibrated_aps,median_router_rmse_m,good_router_count,usable_router_count,weak_router_count,gps_jump_m,wifi_jump_m,is_outlier,outlier_reason
scan_91,2026-04-08 12:55:30,48.8908821141815,8.699021630608312,48.89055994477668,8.698927983189856,48.89056959369623,8.698861063173265,3,83.2986594529988,5.014456619900428,36.721187399310416,wknn_fingerprinting_smoothed_road_snapped,6,2.589844208388258,0,1,5,9.667471784510026,14.777208953692728,True,high_rmse
scan_95,2026-04-08 12:55:57,48.8911053882836,8.699076431933364,48.890832144950664,8.699024044792303,48.89082470406597,8.699096179420229,5,73.92022727237789,5.3442904062704235,31.279178760470042,wknn_fingerprinting_smoothed_road_snapped,11,6.203623197472461,0,1,10,5.531669756860247,13.315422937510084,True,high_rmse
scan_101,2026-04-08 12:56:45,48.8910881905604,8.699137230809166,48.89108583486218,8.699150137228058,48.89108490231534,8.699158964931987,3,96.99484522385713,0.654404336586734,1.6323371791793964,wknn_fingerprinting_smoothed_road_snapped,6,12.882670169456683,0,5,1,4.844333686712253,29.327540593655993,True,high_rmse
scan_115,2026-04-08 12:59:04,48.8910466645644,8.699212735413969,48.89109878694293,8.699156471734177,48.891098180787594,8.699162209741756,4,39.873910086144534,0.4253627112268979,6.823750702021705,wknn_fingerprinting_smoothed_road_snapped,5,17.803929871770777,0,5,0,7.2048279211856805,1.4971169422097725,True,weak_router_support
scan_165,2026-04-08 13:10:39,48.89138361566166,8.699288077690733,48.891374520724554,8.699284086923495,48.89138167157736,8.69921696878062,4,61.5787132162731,4.976564731912992,5.209074333798681,wknn_fingerprinting_smoothed_road_snapped,17,17.336747751648268,0,10,7,6.837926450732347,11.430191665474526,True,high_rmse;weak_router_support
scan_167,2026-04-08 13:10:53,48.89143249963149,8.699299015231373,48.89141775477407,8.69945027897767,48.891430099999994,8.6994328,3,75.60646673042787,1.8775685587221869,9.795558261655545,wknn_fingerprinting_smoothed_road_snapped,8,28.867942314161454,2,2,4,5.5003316368217225,16.69160359976166,True,high_rmse;weak_router_support
scan_169,2026-04-08 13:11:00,48.89147471214108,8.699311938799372,48.89146648124739,8.699427189448546,48.8914589,8.6994465,3,45.24378410345447,1.6461628999186542,10.0047946618074,wknn_fingerprinting_smoothed_road_snapped,5,7.119796838856449,2,2,1,4.793352388109675,3.3591656927214237,True,high_rmse
scan_174,2026-04-08 13:11:21,48.8915324894261,8.699375120538956,48.89145891803375,8.699339351411783,48.89145583563723,8.699338589123649,3,50.55239652634623,0.3476387378198273,8.942198949433092,wknn_fingerprinting_smoothed_road_snapped,15,7.4625305830363455,1,5,9,2.3205082135227775,0.7441397637150965,True,high_rmse
scan_175,2026-04-08 13:11:24,48.89153370851013,8.699386822865728,48.89149431153009,8.699348465298677,48.89145579804426,8.699338940765758,3,86.43758739235616,4.343626604678326,9.354289780154396,wknn_fingerprinting_smoothed_road_snapped,7,3.4388782436246315,4,1,2,0.867194193823983,0.026075227715862636,True,high_rmse
scan_178,2026-04-08 13:11:38,48.89155149744726,8.69937254615229,48.89144178501023,8.699744441970665,48.8914297,8.6997112,3,33.37348206742368,2.780194472644558,28.252529170296324,wknn_fingerprinting_smoothed_road_snapped,6,20.696207970080536,0,4,2,2.239046999853653,27.400679849071672,True,weak_router_support
scan_184,2026-04-08 13:12:12,48.8915363107522,8.69937666182448,48.89145709792187,8.699777905958236,48.89149313695497,8.699790761106415,3,53.1381846384186,4.120719839661837,30.687200816450105,wknn_fingerprinting_smoothed_road_snapped,4,19.289314385111446,1,2,1,1.7172102681054366,9.15306926752346,True,high_rmse;weak_router_support
scan_186,2026-04-08 13:12:21,48.891518330320295,8.69942039052243,48.89151038996803,8.699577639104437,48.891525186119736,8.699582916905795,3,103.71891387123827,1.6917988498311747,11.91999528944825,wknn_fingerprinting_smoothed_road_snapped,7,21.618256563137248,0,3,4,1.4908949060194494,7.20561256529915,True,high_rmse;weak_router_support
scan_189,2026-04-08 13:12:39,48.89151386586865,8.699594719856842,48.8915011951547,8.69950108476317,48.891535914884166,8.699514114461232,4,73.61921345463948,3.9809169122527943,6.3898453629354846,wknn_fingerprinting_smoothed_road_snapped,12,2.6926830594923357,3,5,4,9.794843502647804,0.6125889874945013,True,high_rmse
scan_191,2026-04-08 13:12:46,48.89152441948977,8.699673507828392,48.89149806522148,8.699604479053262,48.891520620671464,8.699612524602363,5,60.18312977977457,2.579000626410655,4.483437049696174,wknn_fingerprinting_smoothed_road_snapped,14,12.959745071756256,2,4,8,5.885061354511744,7.401262455221075,True,high_rmse
scan_198,2026-04-08 13:13:30,48.891470314196965,8.69985252695975,48.89146956743417,8.699826901270665,48.891486625951146,8.699832986056553,3,26.00640946638604,1.9504787721660828,2.3114434226124296,wknn_fingerprinting_smoothed_road_snapped,6,21.040295848411844,0,5,1,1.3639771816596664,7.7583355565025345,True,weak_router_support
scan_206,2026-04-08 13:14:13,48.89148977629532,8.699897807157654,48.89142576050895,8.700053476576702,48.891451226078445,8.700062560159262,7,45.80938742645331,2.911745115236869,12.799374021732064,wknn_fingerprinting_smoothed_road_snapped,18,18.378510898640688,4,4,10,3.9594490191685727,17.258788457216657,True,high_rmse;weak_router_support
scan_207,2026-04-08 13:14:20,48.891476674633545,8.69997881131702,48.89103576265444,8.700283083987195,48.891038194714035,8.7001785099346,3,36.20313061969457,7.6587850282817564,50.95297097891419,wknn_fingerprinting_smoothed_road_snapped,9,39.1185282960716,0,0,9,6.105570830525092,46.75530311174335,True,weak_router_support
scan_208,2026-04-08 13:14:22,48.89146811948938,8.700028584338206,48.89116763499461,8.700255361349159,48.89116925832715,8.700185560937307,4,37.11505904122246,5.112022787569148,35.19725190763692,wknn_fingerprinting_smoothed_road_snapped,19,22.628769117105307,0,8,11,3.765389561881152,14.59912589630224,True,weak_router_support
scan_211,2026-04-08 13:14:37,48.891424772926754,8.700261850520835,48.8912559073587,8.700329042351523,48.891259131822494,8.700190395980718,4,46.23947080458053,10.154125704222357,19.166492735779524,wknn_fingerprinting_smoothed_road_snapped,16,17.428399061094066,2,4,10,17.741899060377722,10.010974353499327,True,high_rmse;weak_router_support
scan_212,2026-04-08 13:14:40,48.89141971207942,8.700303685338518,48.89113042348549,8.699806279180063,48.890940992520264,8.69977679994375,6,48.90785286190978,21.197551483525142,65.7805917454912,wknn_fingerprinting_smoothed_road_snapped,6,18.0832054658069,0,5,1,3.1133525743906953,46.59003544981447,True,high_rmse;weak_router_support
scan_213,2026-04-08 13:14:42,48.89142135417092,8.700329014629084,48.891232831143185,8.70000569013043,48.891228573717854,8.700188752005907,4,36.68835032323076,13.407016296364297,23.78942938817636,wknn_fingerprinting_smoothed_road_snapped,12,20.424743491986725,0,6,6,1.8628809343370816,43.97711871806494,True,weak_router_support
scan_214,2026-04-08 13:14:47,48.89141753022115,8.700396080006612,48.89129717141544,8.700220671706488,48.89129782711547,8.700192477722622,3,52.519821818984816,2.0648576550106417,19.99084097362432,wknn_fingerprinting_smoothed_road_snapped,11,20.360904465006705,1,5,5,4.92704384822722,7.7141095267203195,True,high_rmse;weak_router_support
scan_215,2026-04-08 13:14:50,48.89141248568684,8.700435963169118,48.89133904428051,8.70034920101276,48.89134818183795,8.70034984270555,3,79.8911259138362,1.0182766049102112,9.537967693885276,wknn_fingerprinting_smoothed_road_snapped,11,20.981268101600783,1,4,6,2.972635207616406,12.809430514785323,True,high_rmse;weak_router_support
scan_216,2026-04-08 13:14:57,48.89138119775277,8.700532045851572,48.89136790552338,8.700373563886565,48.891347505200585,8.700372131255886,5,32.886151112853966,2.2733834026194475,12.290672274835666,wknn_fingerprinting_smoothed_road_snapped,14,17.231973107559746,1,7,6,7.847700047410508,1.6330744396368475,True,weak_router_support
scan_219,2026-04-08 13:15:12,48.89137330486397,8.700691223354507,48.89138500156176,8.700452893898802,48.891420198906374,8.700455770949565,5,48.75946981880763,3.923822866983734,18.00645298708485,wknn_fingerprinting_smoothed_road_snapped,18,8.510809836606613,4,7,7,11.68354670614965,10.146932806224825,True,high_rmse
scan_220,2026-04-08 13:15:19,48.89137079817101,8.700770036395655,48.891417750504836,8.700254211688147,48.891427293577934,8.700254991744654,3,51.04278028211536,1.0638679942524671,38.21797476748022,wknn_fingerprinting_smoothed_road_snapped,9,17.760028640838325,0,2,7,5.775201388389146,14.716552259482935,True,high_rmse;weak_router_support
scan_226,2026-04-08 13:15:43,48.89138095671722,8.700902611481208,48.891417314247924,8.700394083978258,48.891422364072305,8.700394496753924,3,45.421306164204324,0.562957705589114,37.474315882155906,wknn_fingerprinting_smoothed_road_snapped,11,26.598410355085424,0,2,9,9.769060999269149,10.225325456208529,True,high_rmse;weak_router_support
scan_227,2026-04-08 13:15:49,48.89136206807266,8.700964203098406,48.89144637647864,8.700166550573513,48.89143577411884,8.700162768704933,4,30.023404755697907,1.2122787651940967,59.22937549029972,wknn_fingerprinting_smoothed_road_snapped,16,19.868536392089542,3,6,7,4.974260673700736,17.026106473773563,True,weak_router_support
scan_231,2026-04-08 13:16:39,48.89157586587517,8.70089202059816,48.89147462124909,8.700399676213227,48.89142233208261,8.700395402062215,3,87.68368683093226,5.829230272912377,40.16597354544006,wknn_fingerprinting_smoothed_road_snapped,6,12.80801300882129,1,5,0,24.3792999259776,17.09242460626416,True,high_rmse
scan_232,2026-04-08 13:16:41,48.89159341695891,8.700891512509841,48.8914925846691,8.700560683751716,48.891492878761184,8.700553172824662,3,115.55606817672634,0.5507097390862111,27.175194926549565,wknn_fingerprinting_smoothed_road_snapped,4,8.252073727935437,1,2,1,1.9541405184748464,13.964883344351795,True,high_rmse
scan_236,2026-04-08 13:21:26,48.89138071160203,8.701044575656445,48.89150936931249,8.700988569956522,48.8915179,8.7009942,3,47.156507943545435,1.0351866010031276,15.710594790480453,wknn_fingerprinting_smoothed_road_snapped,12,9.840444039849636,0,4,8,26.194848897290118,32.399368317825655,True,high_rmse
scan_237,2026-04-08 13:21:35,48.89139212296492,8.701098426919684,48.8914758454636,8.701116627643199,48.89151193345306,8.701120589264532,3,53.22162182471511,4.027765478177049,13.435582122231375,wknn_fingerprinting_smoothed_road_snapped,7,16.335576189937747,0,3,4,4.141112458784134,9.274425643082413,True,high_rmse;weak_router_support
