scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,seen_calibrated_aps,median_router_rmse_m,good_router_count,usable_router_count,weak_router_count
scan_185,2026-04-08 13:12:19,48.89152512554714,8.699402837361259,48.89148713588666,8.699670464438078,48.891510406518925,8.69967876509212,3,10.408329997330663,2.660774909813998,20.26190230891688,wknn_fingerprinting_smoothed_road_snapped,7,5.4200565554475,0,1,6
scan_186,2026-04-08 13:12:21,48.891518330320295,8.69942039052243,48.89151038996803,8.699577639104437,48.891525186119736,8.699582916905795,3,103.71891387123827,1.6917988498311747,11.91999528944825,wknn_fingerprinting_smoothed_road_snapped,7,21.618256563137248,0,3,4
scan_187,2026-04-08 13:12:24,48.89151631850272,8.699460946860098,48.89152527177616,8.69951874099334,48.89153459660532,8.699522240437298,3,24.04118528673991,1.069172206445849,4.9260280933148834,wknn_fingerprinting_smoothed_road_snapped,9,3.909582022478168,3,2,4
scan_189,2026-04-08 13:12:39,48.89151386586865,8.699594719856842,48.8915011951547,8.69950108476317,48.891535914884166,8.699514114461232,4,73.61921345463948,3.9809169122527943,6.3898453629354846,wknn_fingerprinting_smoothed_road_snapped,12,2.6926830594923357,3,5,4
scan_191,2026-04-08 13:12:46,48.89152441948977,8.699673507828392,48.89149806522148,8.699604479053262,48.891520620671464,8.699612524602363,5,60.18312977977457,2.579000626410655,4.483437049696174,wknn_fingerprinting_smoothed_road_snapped,14,12.959745071756256,2,4,8
scan_192,2026-04-08 13:12:53,48.89150392667564,8.699719504958185,48.89147567669053,8.699627752128922,48.891439815032804,8.699618682329232,7,44.94556800583924,4.046936268006182,10.265979220686766,wknn_fingerprinting_smoothed_road_snapped,17,3.909582022478168,5,4,8
scan_195,2026-04-08 13:13:08,48.89147715150767,8.699837062542203,48.891476295375895,8.699720424451456,48.89150253924804,8.699729785661308,7,34.91922947921219,3.000736551154188,8.344893721966622,wknn_fingerprinting_smoothed_road_snapped,12,12.040602767650997,4,6,2
scan_198,2026-04-08 13:13:30,48.891470314196965,8.69985252695975,48.89146956743417,8.699826901270665,48.891486625951146,8.699832986056553,3,26.00640946638604,1.9504787721660828,2.3114434226124296,wknn_fingerprinting_smoothed_road_snapped,6,21.040295848411844,0,5,1
scan_206,2026-04-08 13:14:13,48.89148977629532,8.699897807157654,48.89142576050895,8.700053476576702,48.891451226078445,8.700062560159262,7,45.80938742645331,2.911745115236869,12.799374021732064,wknn_fingerprinting_smoothed_road_snapped,18,18.378510898640688,4,4,10
scan_207,2026-04-08 13:14:20,48.891476674633545,8.69997881131702,48.89103576265444,8.700283083987195,48.891038194714035,8.7001785099346,3,36.20313061969457,7.6587850282817564,50.95297097891419,wknn_fingerprinting_smoothed_road_snapped,9,39.1185282960716,0,0,9
scan_208,2026-04-08 13:14:22,48.89146811948938,8.700028584338206,48.89116763499461,8.700255361349159,48.89116925832715,8.700185560937307,4,37.11505904122246,5.112022787569148,35.19725190763692,wknn_fingerprinting_smoothed_road_snapped,19,22.628769117105307,0,8,11
scan_211,2026-04-08 13:14:37,48.891424772926754,8.700261850520835,48.8912559073587,8.700329042351523,48.891259131822494,8.700190395980718,4,46.23947080458053,10.154125704222357,19.166492735779524,wknn_fingerprinting_smoothed_road_snapped,16,17.428399061094066,2,4,10
scan_212,2026-04-08 13:14:40,48.89141971207942,8.700303685338518,48.89113042348549,8.699806279180063,48.890940992520264,8.69977679994375,6,48.90785286190978,21.197551483525142,65.7805917454912,wknn_fingerprinting_smoothed_road_snapped,6,18.0832054658069,0,5,1
scan_213,2026-04-08 13:14:42,48.89142135417092,8.700329014629084,48.891232831143185,8.70000569013043,48.891228573717854,8.700188752005907,4,36.68835032323076,13.407016296364297,23.78942938817636,wknn_fingerprinting_smoothed_road_snapped,12,20.424743491986725,0,6,6
scan_214,2026-04-08 13:14:47,48.89141753022115,8.700396080006612,48.89129717141544,8.700220671706488,48.89129782711547,8.700192477722622,3,52.519821818984816,2.0648576550106417,19.99084097362432,wknn_fingerprinting_smoothed_road_snapped,11,20.360904465006705,1,5,5
