scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method
scan_67,2026-04-08 12:51:54,48.889655522532514,8.698506450531182,48.89004342773556,8.698815872235285,48.890083149304814,8.698652467439368,10,15.00977955172491,12.751405711872762,48.7884138175813,precomputed_wifi_multilateration
scan_68,2026-04-08 12:52:03,48.88973707600844,8.69855250806581,48.88989214919658,8.698913866840003,48.88980355280225,8.698881256797257,5,17.08985979759319,10.147264322359128,25.174674964624835,precomputed_wifi_multilateration
scan_69,2026-04-08 12:52:12,48.88980222408848,8.698585860055974,48.88995661907343,8.698791703096063,48.89000161065138,8.698606618990846,14,13.338367390223931,14.44318960483131,22.24765833874509,precomputed_wifi_multilateration
scan_70,2026-04-08 12:52:18,48.88983565543575,8.698616818788484,48.89015479140073,8.699050962773281,48.890231346237215,8.699066187618056,10,19.53539989908717,8.59463306010925,54.97339505792889,precomputed_wifi_multilateration
scan_71,2026-04-08 12:52:28,48.88986302131982,8.69861068053691,48.88985444183628,8.698744713493957,48.889827716356464,8.698734360306364,4,5.615037167416226,3.0700731051947185,9.868921574498588,precomputed_wifi_multilateration
scan_72,2026-04-08 12:52:37,48.88991314866339,8.698615243428197,48.89011111554643,8.699152608111662,48.89022201985077,8.69917466419476,6,16.7981639610541,12.450967816189008,53.46786529598414,precomputed_wifi_multilateration
scan_73,2026-04-08 12:52:46,48.88998564571088,8.698668501907346,48.89016039897436,8.699143695959505,48.890223601705834,8.699156265405046,12,22.738842910536395,7.095623347173519,44.4551099057904,precomputed_wifi_multilateration
scan_74,2026-04-08 12:52:56,48.890060742240735,8.69868835225887,48.89018763656481,8.698817335710471,48.890210727957445,8.698728415000646,12,12.26080207430192,6.997642958129792,16.951952509876172,precomputed_wifi_multilateration
scan_75,2026-04-08 12:53:04,48.89012124026355,8.698770845401743,48.8902920058005,8.699587263165922,48.89018831911402,8.699566642436162,29,27.00909822203965,11.64066244211269,58.7238438754895,precomputed_wifi_multilateration
scan_76,2026-04-08 12:53:13,48.89012678023144,8.698836909294055,48.89018866572046,8.699339157638391,48.89020755438819,8.699342914124296,14,55.06637432667078,2.1205866930875197,38.11214678969131,precomputed_wifi_multilateration
scan_77,2026-04-08 12:53:22,48.890133097721495,8.698895899800554,48.8903782205401,8.699576430819489,48.890190684145686,8.699539134403851,7,10.534649432446392,21.054273369244136,47.514990611350534,precomputed_wifi_multilateration
scan_78,2026-04-08 12:53:31,48.89014008298814,8.698909968172023,48.89024855769022,8.699370727742918,48.890205892592924,8.699362242710155,12,40.73174709434301,4.78991098061907,33.904469394851986,precomputed_wifi_multilateration
scan_80,2026-04-08 12:53:49,48.89014079524099,8.69891439183786,48.8901717058552,8.69911819603819,48.89022594731218,8.699128983311565,15,42.67158479379532,6.089561939138125,18.34540739433071,precomputed_wifi_multilateration
scan_81,2026-04-08 12:53:58,48.8901420640057,8.6989117771395,48.89017991969261,8.698448003521184,48.890282833262965,8.698474491567215,3,9.602146991958756,11.619227439560433,35.63670176849524,precomputed_wifi_multilateration
scan_82,2026-04-08 12:54:07,48.89019273368481,8.698915444395558,48.89019519846705,8.698843920368958,48.89025668156152,8.698864726038398,3,11.727376544698355,7.011665183919348,8.02847137793105,precomputed_wifi_multilateration
scan_83,2026-04-08 12:54:16,48.8902915156664,8.698898967808262,48.89028835937541,8.698977272928055,48.890288739636794,8.698970201113832,5,8.446885182949687,0.5193369694680862,5.222945577888114,precomputed_wifi_multilateration
scan_84,2026-04-08 12:54:26,48.8904033326553,8.69891857812163,48.890400690104585,8.698775989214377,48.89040976682276,8.698779397252585,6,7.415903438937173,1.0407554024645989,10.212222672000768,precomputed_wifi_multilateration
scan_85,2026-04-08 12:54:35,48.89047157461348,8.69891169417736,48.89027578873015,8.698864026279804,48.89025768038405,8.69885789847067,4,3.853487392727847,2.0651149351746394,24.134070302149006,precomputed_wifi_multilateration
scan_86,2026-04-08 12:54:44,48.8905309236923,8.698909321493588,48.890232831494224,8.698512854010295,48.89027729145546,8.69852429718855,8,43.44608963132436,5.019652847879527,39.89171305461002,precomputed_wifi_multilateration
scan_87,2026-04-08 12:54:53,48.89062028276742,8.69892088655433,48.89054617649806,8.69885870124446,48.89054692602956,8.698853502874755,11,19.280966920588188,0.3895248054148911,9.539880585894705,precomputed_wifi_multilateration
scan_88,2026-04-08 12:55:02,48.89070448719596,8.698895740749146,48.89075321536427,8.699088985365176,48.89075420843051,8.69907935823189,6,14.046496197620494,0.7132535108471727,14.53459823237992,precomputed_wifi_multilateration
scan_89,2026-04-08 12:55:12,48.89072328794984,8.698922066841531,48.89045810480084,8.698724348986199,48.89046347048902,8.698685809981576,6,39.25079602059306,2.8833319988380026,33.69799640627695,precomputed_wifi_multilateration
