scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,raw_actual_latitude,raw_actual_longitude,matched_actual_latitude,matched_actual_longitude,gps_snap_distance_m,gps_road_type,matched_estimated_latitude,matched_estimated_longitude,wifi_snap_distance_m,wifi_road_type,seen_calibrated_aps,median_router_rmse_m,good_router_count,usable_router_count,weak_router_count,gps_jump_m,wifi_jump_m,is_outlier,outlier_reason
scan_192,2026-04-08 13:12:53,48.89150411419792,8.699719571847556,48.89147567669053,8.699627752128922,48.89151605187846,8.699642153990116,7,44.94556800583924,4.61651777398483,5.820070806164049,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89150392667564,8.699719504958185,48.89150411419792,8.699719571847556,0.021441384785910626,pedestrian,48.89151605187846,8.699642153990116,4.61651777398483,pedestrian,17,3.909582022478168,5,4,8,3.7985451592453034,2.227458804219443,False,
scan_195,2026-04-08 13:13:08,48.89148553618636,8.699840053363722,48.891476295375895,8.699720424451456,48.89150253924804,8.699729785661308,7,34.91922947921219,3.000736551154188,8.289638630317736,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89147715150767,8.699837062542203,48.89148553618636,8.699840053363722,0.9587080618030442,pedestrian,48.89150253924804,8.699729785661308,3.000736551154188,pedestrian,12,12.040602767650997,4,6,2,9.057484947088819,6.587917800420942,False,
scan_240,2026-04-08 13:21:55,48.891375134989154,8.701280475732242,48.89144015823353,8.701197424835945,48.89141399867672,8.701197145781238,3,36.09853908343756,2.912153488646456,7.477660163915694,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89137592136886,8.701258079587715,48.891375134989154,8.701280475732242,1.641546310548525,pedestrian,48.89141399867672,8.701197145781238,2.912153488646456,pedestrian,13,2.442010806229799,1,2,10,7.768439361098658,8.175828837183747,False,
scan_252,2026-04-08 13:23:15,48.89141359809617,8.701293886382407,48.89141341984757,8.701174487303057,48.89141410313087,8.701174494591916,4,35.927583480679004,0.07606496818986425,8.738654979027844,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89141475364461,8.701293886877147,48.89141359809617,8.701293886382407,0.12863565734371232,pedestrian,48.89141410313087,8.701174494591916,0.07606496818986425,pedestrian,6,7.14654882469459,0,2,4,0.24651200276535296,9.530123017965428,False,
scan_256,2026-04-08 13:23:33,48.89141356803146,8.701456326043074,48.891413470720735,8.701278486300914,48.8914136235739,8.701278487931463,4,39.45746634475158,0.017016032419872984,13.016254361546912,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89138886550364,8.701456315466855,48.89141356803146,8.701456326043074,2.7498855055475535,pedestrian,48.8914136235739,8.701278487931463,0.017016032419872984,pedestrian,19,9.305971433245052,2,5,12,11.889216361302704,7.611624298200546,False,
scan_262,2026-04-08 13:24:10,48.89141353407685,8.701639782812592,48.891404804518444,8.70133112908433,48.89141359120251,8.70133113284629,4,39.04134598330342,0.9781337086489493,22.590580513447705,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.8914421089298,8.701639795046729,48.89141353407685,8.701639782812592,3.1809527569751976,pedestrian,48.89141359120251,8.70133113284629,0.9781337086489493,pedestrian,15,4.765853082059008,0,7,8,17.24255213326432,1.3889309425373688,False,
scan_263,2026-04-08 13:24:18,48.8915013,8.7016853,48.891407871748,8.70137494801989,48.89141358309264,8.701374950465164,3,25.52776266472772,0.6357869107009207,24.72481615819269,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89148266781629,8.701681243019001,48.8915013,8.7016853,2.095281835647522,pedestrian,48.89141358309264,8.701374950465164,0.6357869107009207,pedestrian,7,8.83947899782104,0,2,5,10.322480822342177,3.2070810111686887,False,
scan_266,2026-04-08 13:24:35,48.8915022,8.7017819,48.891440616955165,8.701478260653683,48.89141356397389,8.701478249071128,3,27.93347719230358,3.011537994720459,24.31649927569349,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89153123002783,8.701798537235137,48.8915022,8.7017819,3.453430924829005,pedestrian,48.89141356397389,8.701478249071128,3.011537994720459,pedestrian,9,8.87964452755194,1,4,4,7.07100425039907,7.560588783080192,False,
scan_270,2026-04-08 13:24:55,48.891502564904606,8.701970861256049,48.89145577229746,8.70155323762427,48.89141355009818,8.701553219547108,3,42.08493501721818,4.700175410465851,32.13380501907667,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89156910484079,8.701970461659114,48.891502564904606,8.701970861256049,7.407283436090908,pedestrian,48.89141355009818,8.701553219547108,4.700175410465851,pedestrian,9,10.801243552147334,0,5,4,7.1449093380686595,6.048811444515613,False,
scan_280,2026-04-08 13:25:44,48.89131492907697,8.701976879395517,48.89134488616554,8.7017147346727,48.89132374635672,8.701715024794705,4,23.94311934103797,2.3533793194990547,19.19070818709029,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89131486433503,8.70205226059355,48.89131492907697,8.701976879395517,5.517284806054129,pedestrian,48.89132374635672,8.701715024794705,2.3533793194990547,pedestrian,7,1.0097938642114148,0,0,7,20.892264197876084,15.498090251894425,False,
