scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,gps_jump_m,wifi_jump_m,is_outlier,outlier_reason
scan_212,2026-04-08 13:14:40,48.89141971207942,8.700303685338518,48.89089516988,8.699383694779197,48.89096668957956,8.699394824635966,6,3.402455197483946,8.003140016281082,83.47615187737452,precomputed_wifi_multilateration,3.1133525743906953,86.45243250756728,True,large_jump
scan_242,2026-04-08 13:22:07,48.89136680002006,8.701257144481579,48.89141483251717,8.70114248470891,48.8914142507705,8.701142478503181,3,0.8121680903193375,0.06476163196573881,9.916522975910281,precomputed_wifi_multilateration,0.1422612367371508,2.665293778819414,True,too_few_aps
scan_243,2026-04-08 13:22:14,48.891372359143226,8.701261963704354,48.891386170839766,8.700920405249919,48.89141527341194,8.700920715698755,3,19.298360342068893,3.239778016549107,25.42926390764519,precomputed_wifi_multilateration,0.7123069198422134,16.23156951798362,True,too_few_aps
scan_244,2026-04-08 13:22:22,48.89139897596304,8.701249146228088,48.89129255081748,8.70096675537668,48.89127086256415,8.700915174693469,3,31.83564729054809,4.481268416557174,28.30013461830545,precomputed_wifi_multilateration,3.10795236621849,16.080930374416507,True,too_few_aps
scan_247,2026-04-08 13:22:36,48.89140320611991,8.701280453663207,48.89120752884815,8.70053850023175,48.89134216752109,8.700547955331201,3,8.490426927986874,15.003945190601376,54.04159193480119,precomputed_wifi_multilateration,2.339327054354115,28.02503324873594,True,too_few_aps
scan_249,2026-04-08 13:22:51,48.8914056731127,8.701297251027107,48.89139088097284,8.701061258347208,48.89141462414278,8.701061511625161,3,5.121484294332112,2.643154686271269,17.282890694748172,precomputed_wifi_multilateration,1.2597250606058472,38.44369732735025,True,too_few_aps
scan_259,2026-04-08 13:23:48,48.89144644468569,8.701387483343451,48.89142922534728,8.701488678020748,48.89141356204492,8.701488671314607,3,0.7932744932682178,1.743638888198014,8.261330895462883,precomputed_wifi_multilateration,8.794820866076629,13.392975581223695,True,too_few_aps
scan_284,2026-04-08 13:26:09,48.89114873026605,8.702014179579175,48.89100613583251,8.701769685720047,48.89099937746582,8.70176990077898,3,0.4360937184880225,0.7525060267175626,24.414950381574986,precomputed_wifi_multilateration,1.1174523150379247,14.638191895331705,True,too_few_aps
scan_288,2026-04-08 13:26:30,48.89105372146221,8.702059096943312,48.89110811866693,8.70204571492442,48.89110845158306,8.702022153203492,3,13.471495664954594,1.7249283536175302,6.665644361988237,precomputed_wifi_multilateration,7.782777760221558,24.38966117525297,True,too_few_aps
scan_293,2026-04-08 13:26:57,48.89081291786701,8.702086483867662,48.89072085606649,8.701184295361262,48.89077165791233,8.70118444398861,3,40.15471702152758,5.655271942252273,66.18209198351774,precomputed_wifi_multilateration,4.455786573604013,12.269856434958067,True,too_few_aps
